2024-05-19 20:29:46.779 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——0.5; penalty——l1               Sharpe: 0.44427420348626306
2024-05-19 20:29:50.275 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——0.5; penalty——l2               Sharpe: 0.43384784133046794
2024-05-19 20:29:54.358 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——1; penalty——l1               Sharpe: 0.4140524842669346
2024-05-19 20:29:57.544 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——1; penalty——l2               Sharpe: 0.43266006377930194
2024-05-19 20:30:01.833 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——5; penalty——l1               Sharpe: 0.4417665454232766
2024-05-19 20:30:04.713 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——5; penalty——l2               Sharpe: 0.40613488715897067
2024-05-19 20:30:08.977 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——10; penalty——l1               Sharpe: 0.4471778490997865
2024-05-19 20:30:11.732 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——10; penalty——l2               Sharpe: 0.41708764473085236
2024-05-19 20:30:16.210 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——50; penalty——l1               Sharpe: 0.4300205840840249
2024-05-19 20:30:19.065 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——50; penalty——l2               Sharpe: 0.4118091339839584
2024-05-19 20:30:22.698 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——0.1; penalty——l1               Sharpe: 0.18797179180659324
2024-05-19 20:30:26.790 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——0.1; penalty——l2               Sharpe: 0.5035442108698146
2024-05-19 20:30:30.773 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——0.5; penalty——l1               Sharpe: 0.49931940056635266
